Date,AAPL,GOOGL,META,MSFT,NVDA
2024-06-03,193.12681579589844,172.3460235595703,475.75439453125,410.3736877441406,114.96222686767578
2024-06-04,193.44532775878906,172.96307373046875,475.2561950683594,412.904296875,116.39875030517578
2024-06-05,194.95823669433594,174.57537841796875,493.2605285644531,420.78387451171875,122.39977264404297
2024-06-06,193.57470703125,175.88906860351562,491.96527099609375,421.2899475097656,120.958251953125
2024-06-07,195.97348022460938,173.6298828125,491.16815185546875,420.6250915527344,120.8482894897461
2024-06-10,192.22103881835938,174.37716674804688,500.77313232421875,424.614501953125,121.74999237060547
2024-06-11,206.18572998046875,175.98135375976562,505.62542724609375,429.38787841796875,120.88021087646484
2024-06-12,212.07818603515625,177.14710998535156,506.9904479980469,437.7041320800781,125.16914367675781
2024-06-13,213.24273681640625,174.52662658691406,502.2676696777344,438.2201843261719,129.57806396484375
2024-06-14,211.50088500976562,176.15072631835938,502.8262023925781,439.2026672363281,131.84751892089844
2024-06-17,215.6614227294922,176.59912109375,505.2896423339844,444.9585266113281,130.94773864746094
2024-06-18,213.29248046875,174.45687866210938,498.16851806640625,442.9439697265625,135.54660034179688
2024-06-20,208.70394897460938,175.66250610351562,500.3727111816406,442.308837890625,130.74777221679688
2024-06-21,206.524169921875,178.98048400878906,493.47100830078125,446.3577880859375,126.53881072998047
2024-06-24,207.17112731933594,178.5719451904297,497.590087890625,444.26385498046875,118.08089447021484
2024-06-25,208.0968017578125,183.36456298828125,509.2491760253906,447.5188903808594,126.05892181396484
2024-06-26,212.25733947753906,183.21510314941406,511.7624816894531,448.71966552734375,126.36886596679688
2024-06-27,213.1033935546875,184.73956298828125,518.1854248046875,449.4044494628906,123.9594497680664
2024-06-28,209.6395721435547,181.49134826660156,502.8860168457031,443.54931640625,123.50955963134766
2024-07-01,215.7410430908203,182.32830810546875,503.34478759765625,453.2549133300781,124.26937866210938
2024-07-02,219.2446746826172,184.5701904296875,508.1520690917969,455.7854919433594,122.6397705078125
2024-07-03,220.51870727539062,185.14810180664062,508.6108703613281,457.26416015625,128.24839782714844
2024-07-05,225.28639221191406,189.9108123779297,538.4815673828125,464.00250244140625,125.79899597167969
2024-07-08,226.75953674316406,188.34646606445312,527.9196166992188,462.69256591796875,128.16839599609375
2024-07-09,227.61550903320312,188.29664611816406,528.5978393554688,456.0435485839844,131.34764099121094
2024-07-10,231.89549255371094,190.48870849609375,533.275390625,462.7024841308594,134.87677001953125
2024-07-11,226.5106964111328,184.89898681640625,511.3436279296875,451.2403564453125,127.36861419677734
2024-07-12,229.4668426513672,184.4008026123047,497.5502014160156,450.0990905761719,129.20816040039062
2024-07-15,233.3088836669922,185.8555145263672,494.84735107421875,450.5060119628906,128.40835571289062
2024-07-16,233.72694396972656,183.25494384765625,488.4942321777344,446.0997619628906,126.32886505126953
2024-07-17,227.81460571289062,180.36544799804688,460.7677307128906,440.1454162597656,117.96092224121094
2024-07-18,223.13644409179688,177.0474853515625,474.5910949707031,437.0194091796875,121.0601577758789
2024-07-19,223.26585388183594,177.017578125,475.52862548828125,433.7841796875,117.90094757080078
2024-07-22,222.91748046875,181.01309204101562,486.11053466796875,439.5698547363281,123.50955963134766
2024-07-23,223.9626007080078,181.1326446533203,487.3971252441406,441.46533203125,122.5597915649414
2024-07-24,217.522705078125,172.0057830810547,460.0496520996094,425.63665771484375,114.22184753417969
2024-07-25,216.47760009765625,166.6751251220703,452.21044921875,415.2165832519531,112.25233459472656
2024-07-26,216.9454345703125,166.39613342285156,464.46795654296875,422.0342712402344,113.03213500976562
2024-07-29,217.22410583496094,168.9169921875,464.4779052734375,423.4831848144531,111.5625
2024-07-30,217.78150939941406,169.6742401123047,461.9645690917969,419.7021484375,103.7044448852539
2024-07-31,221.04623413085938,170.91969299316406,473.57379150390625,415.1669616699219,116.99116516113281
2024-08-01,217.34356689453125,170.1425323486328,496.4231872558594,413.93634033203125,109.18309783935547
2024-08-02,218.83657836914062,166.057373046875,486.84857177734375,405.3819274902344,107.24356079101562
2024-08-05,208.29586791992188,158.6741485595703,474.471435546875,392.1434631347656,100.42524719238281
2024-08-06,206.26536560058594,157.71762084960938,492.7828369140625,396.56951904296875,104.22431182861328
2024-08-07,208.84332275390625,158.36526489257812,487.62652587890625,395.3984680175781,98.88563537597656
2024-08-08,212.3170623779297,161.444091796875,508.28173828125,399.6260986328125,104.94413757324219
2024-08-09,215.23342895507812,163.0781707763672,516.4002075195312,402.9307556152344,104.72418975830078
2024-08-12,216.7680206298828,161.7031707763672,514.5850219726562,403.7147521972656,108.99313354492188
2024-08-13,220.4949493408203,163.56640625,527.1416625976562,410.8599853515625,116.11138153076172
2024-08-14,220.94334411621094,159.79010009765625,525.3663940429688,413.6882629394531,118.05091094970703
2024-08-15,223.932861328125,160.7167510986328,535.908447265625,418.5796203613281,122.8297348022461
2024-08-16,225.25819396972656,162.37074279785156,526.0245971679688,416.0345458984375,124.54930114746094
2024-08-19,225.0987548828125,166.0673370361328,527.8797607421875,419.07672119140625,129.9679718017578
2024-08-20,225.71656799316406,166.5754852294922,525.33642578125,422.32769775390625,127.21864318847656
2024-08-21,225.60696411132812,165.2502899169922,533.744140625,421.6715393066406,128.46835327148438
2024-08-22,223.74349975585938,163.2077178955078,530.522705078125,413.1315002441406,123.70951843261719
2024-08-23,226.04542541503906,165.0211181640625,526.6031494140625,414.36431884765625,129.33811950683594
2024-08-26,226.3842315673828,165.55917358398438,519.7413330078125,411.0835266113281,126.42884063720703
2024-08-27,227.23126220703125,164.0845184326172,517.7266235351562,411.4314880371094,128.26840209960938
2024-08-28,225.6966552734375,162.2611541748047,515.412841796875,408.2103271484375,125.57905578613281
2024-08-29,228.98509216308594,161.19500732421875,516.8489379882812,410.7156982421875,117.56102752685547
2024-08-30,228.19784545898438,162.7892303466797,519.9307861328125,414.7122802734375,119.34059143066406
2024-09-03,221.98968505859375,156.79100036621094,510.40606689453125,407.0570983886719,107.973388671875
2024-09-04,220.076416015625,155.88427734375,511.38348388671875,406.5202331542969,106.18383026123047
2024-09-05,221.60105895996094,156.6714324951172,515.4926147460938,406.0132141113281,107.18358612060547
2024-09-06,220.0465087890625,150.374267578125,498.94647216796875,399.3621826171875,102.8046646118164
2024-09-09,220.13619995117188,148.368896484375,503.45452880859375,403.3587341308594,106.44377136230469
2024-09-10,219.3389892578125,148.31900024414062,503.45452880859375,411.7893981933594,108.0733642578125
2024-09-11,221.8800811767578,150.8132781982422,510.4758605957031,420.57794189453125,116.88119506835938
2024-09-12,221.98968505859375,154.33517456054688,524.2094116210938,424.514892578125,119.12083435058594
2024-09-13,221.72061157226562,157.09881591796875,523.2320556640625,428.083984375,119.0808334350586
2024-09-16,215.56227111816406,157.6974334716797,532.3765869140625,428.8296203613281,116.7612075805664
2024-09-17,216.03062438964844,158.95455932617188,535.4114379882812,432.6174621582031,115.57140350341797
2024-09-18,219.91696166992188,159.44342041015625,537.0386352539062,428.302734375,113.35176086425781
